,lookback,accuracy,mse,r_square,pcc
0,12,0.563391442155309,0.0046132191478411326,-0.5042506426876157,0.11363033754402901
1,18,0.5784469096671949,0.003437959055611634,-0.12102892865119186,0.12039838302353255
2,24,0.5435816164817749,0.003573017244311214,-0.16506788727006483,0.027829292669503625
3,30,0.5839936608557845,0.0032781340697524645,-0.06891416236945047,0.1220720749125296
4,36,0.5998415213946118,0.0031515608314607135,-0.0276419251429747,0.17708192993112132
5,42,0.5816164817749604,0.003103609381517198,-0.012006205901435418,0.1730149820774971
6,48,0.5998415213946118,0.0029558140367836818,0.036186007643344786,0.2217825422719113
7,54,0.5824088748019017,0.0029430330490943977,0.040353554930749325,0.2288801653445341
8,60,0.5491283676703645,0.0029677118270553153,0.032306448036677815,0.21185480290646452
9,66,0.5301109350237718,0.0030179060855585436,0.015939407323243615,0.17005600969872942
10,72,0.5182250396196514,0.0030535573791017896,0.0043144488058991515,0.1400477107528394
11,78,0.49920760697305866,0.0030985232028997,-0.010347735490859877,0.11156164296453351
12,84,0.5206022187004754,0.003061911807172932,0.0015902873488862213,0.11980027842591395
13,90,0.5150554675118859,0.003072013648238126,-0.0017036599854296508,0.10494955780186857
14,96,0.526148969889065,0.0030720231430918328,-0.0017067560099914836,0.11078343570631295
15,102,0.5641838351822503,0.0030537580015428966,0.004249031051766661,0.13260042263558175
16,108,0.5816164817749604,0.0030571112813563544,0.0031556138190592664,0.13291139858140388
17,114,0.6022187004754358,0.0030186607904251167,0.01569331771765603,0.16660647040428733
18,120,0.650554675118859,0.0029963970200205903,0.022952953530823605,0.193187993496211
19,126,0.6014263074484945,0.0030013888436584836,0.021325249822232606,0.19543973328474384
